Name	Pos-m/z	RT	Adduct	Formula
TG 42:1	738.66	22.05	[M+NH4]+	C45H84O6
TG 43:1	752.68	22.44	[M+NH4]+	C44H82O7
TG 44:1	766.69	22.76	[M+NH4]+	C47H88O6
TG 44:2	764.68	22.03	[M+NH4]+	C47H86O7
TG 45:1	780.71	23.4	[M+NH4]+	C48H90O6
TG 46:2	792.71	22.85	[M+NH4]+	C49H90O7
TG 46:3	790.71	22.19	[M+NH4]+	C49H88O8
TG 47:3	804.71	22.73	[M+NH4]+	C50H90O6
TG 48:3	818.72	23.04	[M+NH4]+	C51H92O6
TG 49:2	834.75	24.51	[M+NH4]+	C52H96O6
TG 56:3	930.85	22.95	[M+NH4]+	C59H108O6
TG 56:4	928.83	22.2	[M+NH4]+	C59H106O6
TG 56:5	926.82	21.5	[M+NH4]+	C59H104O6
SM 32:1;2O	675.54	11.37	[M+H]+	C37H75N2O6P
SM 33:1;O2|SM 17:1;O2/16:0	689.56	12.48	[M+H]+	C38H77N2O6P
SM 34:0;2O	705.59	14.39	[M+H]+	C39H81N2O6P
SM 34:1;O2|SM 18:1;O2/16:0	703.57	13.56	[M+H]+	C39H79N2O6P
SM 34:2;O2|SM 18:2;O2/16:0	701.56	11.76	[M+H]+	C39H77N2O6P
SM 36:0;O2	733.62	17.3	[M+H]+	C41H85N2O6P
SM 36:1;O2	731.61	15.77	[M+H]+	C41H83N2O6P
SM 36:2;2O	729.59	14.09	[M+H]+	C41H81N2O6P
SM 38:0;2O	761.65	20.3	[M+H]+	C43H89N2O6P
SM 38:1;2O	759.64	20.43	[M+H]+	C43H87N2O6P
SM 38:2;2O	757.64	19.14	[M+H]+	C43H85N2O6P
SM 40:0;2O	789.67	23.67	[M+H]+	C45H93N2O6P
SM 40:1;2O	787.67	22.84	[M+H]+	C45H91N2O6P
SM 40:2;2O	785.65	22.03	[M+H]+	C45H89N2O6P
SM 41:1;2O	801.68	24.53	[M+H]+	C46H93N2O6P
SM 41:2;2O	799.67	23.71	[M+H]+	C46H91N2O6P
SM 41:8;2O	787.57	18.98	[M+H]+	C46H79N2O6P
SM 42:1;O2|SM 18:1;O2/24:0	815.7	24.94	[M+H]+	C47H95N2O6P
SM 42:2;O2|SM 18:1;O2/24:1	813.7	24.16	[M+H]+	C47H93N2O6P
SM 42:3;O2|SM 18:2;O2/24:1	811.67	23.29	[M+H]+	C47H91N2O6P
Cer 34:0;O2|Cer 18:0;O2/16:0	540.53	16.49	[M+H]+	C34H69NO3
Cer 34:1;O2|Cer 18:1;O2/16:0	538.52	15.69	[M+H]+	C34H67NO3
Cer 36:0;O2|Cer 18:0;O2/18:0	568.57	18.09	[M+H]+	C36H73NO3
Cer 38:0;O2|Cer 18:0;O2/20:0	596.6	21.3	[M+H]+	C38H77NO3
Cer 38:1;2O	594.58	20.02	[M+H]+	C38H75NO4
Cer 40:0;O2|Cer 18:0;O2/22:0	624.63	20.41	[M+H]+	C40H81NO3
Cer 40:1;O2|Cer 18:1;O2/22:0	622.61	19.4	[M+H]+	C40H79NO3
Cer 41:1;O2|Cer 18:1;O2/23:0	636.63	22.4	[M+H]+	C41H81NO3
Cer 41:2;O2|Cer 18:1;O2/23:1	634.61	21.6	[M+H]+	C41H79NO3
Cer 42:1;O2|Cer 18:1;O2/24:0	650.64	25.16	[M+H]+	C42H83NO3
Cer 42:2;O2|Cer 18:1;O2/24:1	648.63	19.95	[M+H]+	C42H81NO3
Cer 42:3;O2|Cer 18:2;O2/24:1	646.61	18.54	[M+H]+	C42H79NO3
